id,acommodation_type,Name,latitude,longitude,address,city
acom_1,Hotel,Maso franch gourmet e relais,46.1441,11.1186,"Strada Statale 612 della Val di Cembra, Maso Franch, Giovo, Comunità della Valle di Cembra, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38030, Italia",region_111
acom_2,Hotel,Aquila nera,46.0745,11.3036,"Unterperg, Balsn - Maso Balsen, Auserpèrg - Frassilongo, Frassilongo - Garait, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",region_107
acom_3,Hotel,Kamauz,46.0745,11.3036,"Unterperg, Balsn - Maso Balsen, Auserpèrg - Frassilongo, Frassilongo - Garait, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",region_107
acom_4,Hotel,Belvedere,46.1133,11.3282,"SP135, Plótzer - Maso Plozzeri, Auserpèrg - San Francesco, Fierozzo - Vlarotz, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38050, Italia",region_108
acom_5,Holiday_house,Carlini carla  - casa roberto,46.00125454,11.34098053,"1, Via Lungovalle, Barco, Levico Terme, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38056, Italia",region_34
acom_6,Hotel,Hotel fior di bosco,46.1776,11.1674,"Masen, Ville, Giovo, Comunità della Valle di Cembra, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38030, Italia",region_111
acom_7,Hotel,Hotel margherita,46.3122,11.6663,"SS50, Castelir di Bellamonte, Bellamonte, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38037, Italia",region_55
acom_8,Hotel,Hotel san celso,46.3129,11.6663,"Via Serradori, Bellamonte, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38037, Italia",region_55
acom_9,Hotel,Hotel canada,46.3037,11.6676,"Strada forestale Valonat - Calvario, Bellamonte, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",region_55
acom_10,Hotel,Villa fontana ***,46.077346,11.116822,"12, Via Felice e Gregorio Fontana, Cristo Re, Vela, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia",region_153
acom_11,Hotel,Europa **,46.051386,11.072276,"30, Strada di Vanéze, Vaneze, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38123, Italia",region_153
acom_12,Hotel,Buonconsiglio ****,46.072929,11.122554,"14, Via Gian Domenico Romagnosi, San Martino, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia",region_153
acom_13,Hotel,Le blanc hotel & spa ****,46.041741,11.059603,"Le Blanc Hotel & Spa, 58, Strada di Vason, Vason, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38123, Italia",region_153
acom_14,Hotel,Grand hotel trento ****,46.071057,11.121219,"Piazza Dante, Bolghera, Centro storico, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia",region_153
acom_15,Hotel,"Ostello della gioventù ""giovane europa""",46.06997,11.119194,"12, Via Torre Vanga, Bolghera, Piedicastello, Vela, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia",region_153
acom_16,Hotel,Everest ***,46.078611,11.11841,"Everest, 14, Corso degli Alpini, Cristo Re, Martignano, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia",region_153
acom_17,Hotel,Karinhall ***,45.995601,11.126269,"Località I Grezzi, Grezzi, Mattarello, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38123, Italia",region_153
acom_18,Hotel,Accademia ****,46.068788,11.120519,"3, Piazzetta Padre Diego Lainez, Bolghera, Centro storico, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia",region_153
acom_19,Hotel,Prada sport *,46.038625,11.05827,"Bar Prada Sport, 87, Strada di Vason, Vason, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia",region_153
acom_20,Hotel,Alpine mugon ****,46.041015,11.059336,"Montana, 70, Strada di Vason, Vason, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38123, Italia",region_153
acom_21,Hotel,Venezia **,46.067268,11.121232,"Gelateria GROM, 27, Piazza del Duomo, Bolghera, Centro storico, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia",region_153
acom_22,Hotel,Nevada **,46.039757,11.058471,"Hotel Dolomiti Chalet, 88, Strada di Vason, Vason, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38123, Italia",region_153
acom_23,Hotel,Sporting trento ***,46.051187,11.111769,"Sporting Trento, 125, Via Roberto da Sanseverino, Belvedere, San Giuseppe, Ravina, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38123, Italia",region_153
acom_24,Hotel,San giorgio della scala ***,46.07352,11.103739,"Via Brescia, Piedicastello, Vela, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia",region_153
acom_25,Hotel,Laghetto ***,46.001799,11.085583,"Hotel Terme, 13, Via dei Bagni di Fieno, Lago, Bernardi, Garniga Terme, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38060, Italia",region_109
acom_26,Hotel,Hotel torretta,46.3122,11.6663,"SS50, Castelir di Bellamonte, Bellamonte, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38037, Italia",region_55
acom_27,Hotel,Miramonti ***,46.001956,11.085328,"Miramonti, Via dei Bagni di Fieno, Lago, Bernardi, Garniga Terme, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",region_109
acom_28,Hotel,Dolomiti chalet family hotel ***,46.027558,11.045175,"Strada delle Viote, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",region_153
acom_29,Hotel,Terme san leonardo ***,46.080888,11.043555,"Strada di Vigolo Baselga, Vigolo Baselga, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38096, Italia",region_153
acom_30,Hotel,Garni' belvedere,46.3122283,11.6671593,"SS50, Castelir di Bellamonte, Bellamonte, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38037, Italia",region_55
acom_31,Hotel,Relais villa madruzzo ****,46.074083,11.146586,"Via Ponte Alto, Marnighe, Cognola, Povo, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38100, Italia",region_153
acom_32,Hotel,Relais vecchio maso ****,46.068303,11.056526,"Relais Vecchio Maso, 2, Strada del Monastero di Sant'Anna, Sopramonte, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38123, Italia",region_153
acom_33,Hotel,Vela ***,46.081945,11.102854,"Via Santi Cosma e Damiano, Campotrentino, Vela, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38121, Italia",region_153
acom_34,Hotel,Hotel stella alpina,46.3122283,11.6671593,"SS50, Castelir di Bellamonte, Bellamonte, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38037, Italia",region_55
acom_35,Hotel,Zodiaco ***,46.051062,11.072427,"Hotel Zodiaco, Strada di Vanéze, Vaneze, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia",region_153
acom_36,Hotel,Bressan *,46.061551,10.990252,"Padergnone, Vallelaghi, Comunità della Valle dei Laghi, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38096, Italia",region_159
acom_37,Hotel,Al marinaio ***,46.035116,11.126162,"Via dei Marinai d'Italia, Stella di Man, Oltrefersina, Ravina, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38123, Italia",region_153
acom_38,Hotel,Albermonaco ***?,46.0731,11.126414,"Hi Hotels, 25, Via Torre D'Augusto, Corallo, San Martino, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia",region_153
acom_39,Hotel,America ***,46.071124,11.124129,"Hotel America, 52, Via Torre Verde, Bolghera, Centro storico, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia",region_153
acom_40,Hotel,Hotel bellamonte,46.3122283,11.6671593,"SS50, Castelir di Bellamonte, Bellamonte, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38037, Italia",region_55
acom_41,Hotel,Monte bondone ***,46.097411,11.058246,"5, Via al Lago di Terlago, Terlago, Vallelaghi, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38096, Italia",region_159
acom_42,Hotel,Hotel antico,46.3122,11.6682,"SS50, Castelir di Bellamonte, Bellamonte, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38037, Italia",region_55
acom_43,Hotel,Lillà ***?,46.098071,11.058179,"13, Località Maso Travolt, Terlago, Vallelaghi, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38096, Italia",region_159
acom_44,Hotel,Chalet caminetto ***,46.038109,11.055346,"Hotel Chalet Caminetto, Strada di Vason, Vason, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",region_153
acom_45,Hotel,Vason **,46.039487,11.057727,"Hotel Vason, 100, Strada di Vason, Vason, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38123, Italia",region_153
acom_46,Hotel,Montana ***?,46.040801,11.058415,"Montana, 70, Strada di Vason, Vason, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38123, Italia",region_153
acom_47,Hotel,Vezzano **,46.077407,10.998532,"Erboristeria, 102, Via Roma, Vezzano, Vallelaghi, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38096, Italia",region_159
acom_48,Hotel,Aquila d'oro ****,46.067842,11.121495,"Via Rodolfo Belenzani, Bolghera, Centro storico, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia",region_153
acom_49,Hotel,Norge wellness resort ****,46.048775,11.066649,"Hotel Norge, Strada del Norge, Norge, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",region_153
acom_50,Hotel,Best western ****,46.111387,11.092597,"10, Via San Sebastian, Interporto di Trento, Canova, Roncafort, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38121, Italia",region_153
acom_51,Hotel,Al vecchio mulino ***,46.076509,11.019952,"SS45bis, Vezzano, Vallelaghi, Comunità della Valle dei Laghi, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38096, Italia",region_159
acom_52,Hotel,Oasi *,46.099792,11.112011,"Hotel Oasi, Via Bolzano, Centochiavi, Canova, Gardolo, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38121, Italia",region_153
acom_53,Hotel,Augustus **,46.051569,11.072813,"28, Strada di Vanéze, Vaneze, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38123, Italia",region_153
acom_54,Hotel,Adige ****,46.01488,11.132218,"Ronchi, Mattarello, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38123, Italia",region_153
acom_55,Hotel,Hotel sole - bellamonte,46.310638,11.6747376,"Via de l'Or, Bellamonte, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38037, Italia",region_55
acom_56,Hotel,Zaluna,46.3144,11.6469,"Via Prai de Mont, Somaìla, Zaluna, Bellamonte, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38037, Italia",region_55
acom_57,Hotel,Torretta (dip),46.3122,11.6663,"SS50, Castelir di Bellamonte, Bellamonte, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38037, Italia",region_55
acom_58,Campsite,Camping valle verde,46.30935143,11.64001465,"Strada forestale di Cece, Zaluna, Bellamonte, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38037, Italia",region_55
acom_59,Campsite,Camping bellamonte,46.3111901,11.6588808,"Fiemme Village, 16, Via Cece, Bellamonte, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38037, Italia",region_55
acom_60,Holiday_house,Cuccia mariaclara,46.3141,11.6608,"Via Viezzena, Bellamonte, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38037, Italia",region_55
acom_61,Holiday_house,Varesco rina,46.3131,11.6625,"Via Prai de Mont, Bellamonte, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",region_55
acom_62,Holiday_house,Mancurti olga,46.3128,11.6605,"Bellamonte, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",region_55
acom_63,Hotel,Garni' turismo,46.1175,11.2049,"Via di Spiaz, San Rocco, Fornace, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38041, Italia",region_112
acom_64,Holiday_house,Cristellon jellici rosa,46.3148,11.6651,"Via de Val, Bellamonte, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",region_55
