index,address,city,name,latitude,longitude
cave_1,"Antro a SSE di Sant' Antonio, Strada forestale Driosilana, Pieve Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38050, Italia",Pieve Tesino,Antro a SSE di Sant Antonio,46.0934588,11.6150319
cave_2,"Buco del Fango, Strada forestale Luisierne, Masi dei Mioli, Maso dei Taviani, Pieve Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38050, Italia",Pieve Tesino,Buco del Fango,46.0801229,11.5926849
cave_3,"Buco del Pal, Strada forestale Giogomalo, Grigno, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Grigno,Buco del Pal,45.9873309,11.5909969
cave_4,"Bus de l' Acqua, Strada forestale Prapezzè, Castello Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Castello Tesino,Bus de l Acqua,46.087753,11.6811786
cave_5,"Caverna 2 di Malga Valfontane, Strada forestale Val Fontane, Castello Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38053, Italia",Castello Tesino,Caverna 2 di Malga Valfontane,46.1048373,11.6684993
cave_6,"Caverna dei ciclopi, Strada forestale Val Caora Bassa, Cinte Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Cinte Tesino,Caverna dei ciclopi,46.1199366,11.722501
cave_7,"Caverna dei Pastori, Traccia Sentiero Cima Agaro - Magri, Castello Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38053, Italia",Castello Tesino,Caverna dei Pastori,46.0903937,11.6568324
cave_8,"Caverna del fiume scomparso, Strada forestale Val Caora Bassa, Cinte Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Cinte Tesino,Caverna del fiume scomparso,46.1204231,11.7209719
cave_9,"Caverna sentinella 1, Strada forestale Val Caora Bassa, Cinte Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Cinte Tesino,Caverna sentinella 1,46.1204265,11.7227193
cave_10,"Caverna sentinella 2�, Strada forestale Val Caora Bassa, Cinte Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Cinte Tesino,Caverna sentinella 2 ,46.1204175,11.7227189
