index,address,city,Name,Latitude,Longitude,landform_type
landf_1,"Piazzetta Bernardo Clesio, Pez, Maiano, Cles, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38023, Italia",Cles,Lago di Santa Giustina,46.36216108,11.05342464,lake
landf_2,"Strada Statale 47 della Valsugana, Tenna, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38052, Italia",Tenna,Lago di Caldonazzo,46.01519782,11.24999006,lake
landf_3,"Lago di Levico, Località al Lago, Levico Terme, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38056, Italia",Levico Terme,Lago di Levico,46.01627742,11.27495386,lake
landf_4,"Sentiero giro del lago, Molveno, Comunità della Paganella, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38018, Italia",Molveno,Lado di Molveno,46.12064118,10.95812426,lake
landf_5,"Castel Toblino, SS45bis, Sarche, Madruzzo, Comunità della Valle dei Laghi, Provincia di Trento, Trentino-Alto Adige/Südtirol, 30876, Italia",Madruzzo,Lago di Toblino,46.05194775,10.9652773,lake
landf_6,"Via Lungo Lago, Trebi, Cavedine, Comunità della Valle dei Laghi, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38073, Italia",Cavedine,Lago di Cavedine,45.99610564,10.94581687,lake
landf_7,"Via Lungolago, Mezzolago, Ledro, Comunità Alto Garda e Ledro, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38067, Italia",Ledro,Lago di Ledro ,45.87753713,10.75145444,lake
landf_8,"Punta Calcarole, Nago-Torbole, Comunità Alto Garda e Ledro, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38069, Italia",Nago,Lago di Garda,45.84114685,10.84769665,lake
landf_9,"Sentiero Belvedere (chiuso), Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Ville dAnaunia,Lago di Tovel,46.2604,10.9489,lake
landf_10,"Via Lungolago, Pissol, Canzolino, Pergine Valsugana, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38057, Italia",Pergine Valsugana,Lago di Canzolino,46.083,11.226,lake
landf_11,"Via al Lago di Terlago, Terlago, Vallelaghi, Comunità della Valle dei Laghi, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38096, Italia",Vallelaghi,Lago de Terlago,46.0989,11.0555,lake
landf_12,"Vicolo del Palazzo, Santa Massenza, Padergnone, Vallelaghi, Comunità della Valle dei Laghi, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38096, Italia",Vallelaghi,Lago di Santa Massenza,46.0655,10.9833,lake
landf_13,"15, Lago di Céi, Villa Lagarina, Comunità della Vallagarina, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38060, Italia",Villa Lagarina,Lago di Cei,45.9509,11.0202,lake
