id;city;address;name;latitude;longitude
mount_1;Castello Tesino;traccia per Passo diavoli, Castello Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia;Cima d'Asta;46.1766183;11.6052937
mount_2;Tezze Valsugana;Forte Leone, Via Nazionale, Tezze Valsugana, Grigno, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38055, Italia;Cima Campo;45.9998035;11.6879398
mount_3;Capriana;9, Capriana, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38030, Italia;Monte Corno - Trudner Horn;46.2898752;11.3238241
mount_4;Cinte Tesino;Strada forestale Prà della Castellana, Cinte Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38053, Italia;Monte Mezza;46.0455556;11.5816667
mount_5;Canal San Bovo;Monte Totoga, Sentiero Gaetano Moretta, Gobbera, Canal San Bovo, Comunità di Primiero, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia;Monte Totoga;46.135559;11.7492946
mount_6;Tesero;Troso dele Spiase (E518), Tesero, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38038, Italia;Cornacci;46.3113226;11.5235816
mount_7;Telve;Strada Provinciale del Passo del Manghen, Telve, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia;Ziolera;46.171736;11.4554569
mount_8;Cavalese;al lago del Forame, Cavalese, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia;Cimon di Val Moena;46.220685;11.4792198
mount_9;Bellamonte;Bait de Mulat, Strada per Pragatai, Zaluna, Bellamonte, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38037, Italia;La Sopösa;46.3251155;11.6219478
mount_10;Predazzo;Pragatai, Zaluna, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38037, Italia;Monte Mulat - Mül Grant;46.3270715;11.6326015
mount_11;Ziano di Fiemme;Zanolin, Ziano di Fiemme, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia;\N;46.2991643;11.5517295
mount_12;Predazzo;Alta Via di Viezena, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38035, Italia;Viezzena - Viesena;46.3376652;11.6751093
mount_13;Moena;Valbona, Moena, Comun General de Fascia, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38035, Italia;Sas de Mezdì;46.3562573;11.6704242
mount_14;Tesero;Santana Weg-Nr574, Tesero, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia;Pala di Santa;46.3458524;11.5123106
mount_15;Unterradein - Redagno di Sotto;13, Untere Kugelalm - Malga Cùgola bassa, Unterradein - Redagno di Sotto, Ville di Fiemme, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 39040, Italia;Cugola;46.3241664;11.4317083
mount_16;Moena;Sentiero forestale do Peniola, Moena, Comun General de Fascia, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38035, Italia;Sas da Ciamp;46.37956;11.62491
mount_17;Predazzo;515B, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38037, Italia;La Forcella di Pelenzana;46.310669;11.571878
mount_18;Cavalese;Sentiero per Cima delle Stellune, Cavalese, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia;Cima delle Stellune;46.1994171;11.5107524
mount_19;Ziano di Fiemme;mulattiera Grande Guerra, Ziano di Fiemme, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia;Pala del Cardinal;46.2439106;11.6018329
mount_20;Baselga di Pinè;Path from Passo Cadino to Malga Fornasa Alta, Valfloriana, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia;Monte Croce;46.1693463;11.3924897
mount_21;Telve;Bivacco ANA ai Mangheneti, Strada Provinciale del Passo del Manghen, Telve, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia;Cima Fornace;46.1647739;11.4192871
mount_22;Telve;Bivacco ANA ai Mangheneti, Strada Provinciale del Passo del Manghen, Telve, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia;Monte Cadino;46.1676536;11.4209121
mount_23;Cavalese;2, Alpe Cermis, Cavalese, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia;Paion del Cermis;46.2413696;11.5035518
mount_24;Cavalese;5a, Cavalese, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia;Cimon del To della Trappola;46.2315971;11.5005337
mount_25;Tesero;Tesero, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38038, Italia;Cimon di Lasteolo;46.2168382;11.5446191
mount_26;Ziano di Fiemme;Busa del Castel, Ziano di Fiemme, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia;Cima Litegosa;46.2253087;11.558882
mount_27;Baselga di Piné;Cros de Costalta, Sentiero delle scalette, Baselga di Piné, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38042, Italia;Dosso di Costalta;46.1321025;11.2891682
mount_28;Predazzo;Via Ferrata dei Campanili del Latemar, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 39056, Italia;Cimon del Latemar - Diamantiditurm;46.3810697;11.5750434
mount_29;Telve;Strada Forestale Val Cantieri, Cere, Telve, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia;Monte Valpiana;46.1629253;11.480299
mount_30;Miola;Dosso di Miola, Sinter de Cambaselga, Laita, Serraia, Miola, Baselga di Piné, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38042, Italia;Dosso di Miola;46.1304976;11.2507084
mount_31;Baselga di Piné;Busona di Val del Mattio, Baselga di Piné, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia;Monte Ruioch;46.1540984;11.3635196
mount_32;Carano;Giro de Solombo, Aguai, Carano, Ville di Fiemme, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38099, Italia;Solombo;46.3030588;11.4163781
