id,name,city,latitude,longitude,address
bus_stop1,Trento-Autostaz.,Trento,46.070785,11.118457,"Via San Lorenzo, Bolghera, Piedicastello, Vela, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
bus_stop2,Trento Solteri Bivio Ss.12,Trento,46.084046,11.119728,"OBI, 230, Via del Brennero, Magnete, Solteri, Martignano, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38121, Italia"
bus_stop3,Trento Bren Center,Trento,46.091322,11.11566,"Tani, 330, Via del Brennero, Magnete, Zona commerciale via Brennero, Martignano, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38121, Italia"
bus_stop4,Pergine-Via Baratieri,Zivignago,46.063948,11.242774,"1, Via Baratieri, Zivignago, Pergine Valsugana, Comunita Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38057, Italia"
bus_stop5,Pergine V. Distr. Tamoil,Zivignago,46.065171,11.247426,"62, Via Spolverine, Zivignago, Pergine Valsugana, Comunita Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38057, Italia"
bus_stop6,Zivignago,Zivignago,46.067277,11.252917,"SP8, Centrale, Zivignago, Pergine Valsugana, Comunita Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38057, Italia"
bus_stop7,Zivignago Cons.S.Orsola,Zivignago,46.070154,11.257157,"SP8, Centrale, Zivignago, Pergine Valsugana, Comunita Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38057, Italia"
bus_stop8,Castello di F.-Via Stazione,Castello di Fiemme,46.28207,11.428963,"Via della Stazione, Castello di Fiemme, Castello-Molina di Fiemme, Comunita territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38099, Italia"
bus_stop9,Castello di Fiemme,Castello di Fiemme,46.281012,11.434818,"Via Roma, Castello di Fiemme, Castello-Molina di Fiemme, Comunita territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38099, Italia"
bus_stop10,Pergine V. Via Regensburger,Zivignago,46.064433,11.242024,"Via Regensburger, Zivignago, Pergine Valsugana, Comunita Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38057, Italia"
bus_stop11,Cavalese Hotel Garden,Cavalese,46.28927,11.448063,"Via Trento, Cavalese, Comunita territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38033, Italia"
bus_stop12,Cavalese-P.Zza Partigiani,Cavalese,46.291892,11.455502,"Via Trento, Cavalese, Comunita territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38033, Italia"
bus_stop13,Cavalese Piazza G.Verdi,Cavalese,46.290336,11.460686,"Piazza Giuseppe Verdi, Cavalese, Comunita territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38033, Italia"
bus_stop14,Cavalese Autostaz.,Cavalese,46.287909,11.463231,"Via Lagorai, Cavalese, Comunita territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38033, Italia"
