id,city,address,name,latitude,longitude
mount_1,Castello Tesino,"traccia per Passo diavoli, Castello Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Cima d'Asta,46.1766183,11.6052937
mount_2,Grigno,"Forte Leone, Via Nazionale, Tezze Valsugana, Grigno, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38055, Italia",Cima Campo,45.9998035,11.6879398
mount_3,Capriana,"9, Capriana, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38030, Italia",Monte Corno - Trudner Horn,46.2898752,11.3238241
mount_4,Cinte Tesino,"Strada forestale Prà della Castellana, Cinte Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38053, Italia",Monte Mezza,46.0455556,11.5816667
mount_5,Canal San Bovo,"Monte Totoga, Sentiero Gaetano Moretta, Gobbera, Canal San Bovo, Comunità di Primiero, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Monte Totoga,46.135559,11.7492946
mount_6,Tesero,"Troso dele Spiase (E518), Tesero, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38038, Italia",Cornacci,46.3113226,11.5235816
mount_7,Telve,"Strada Provinciale del Passo del Manghen, Telve, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Ziolera,46.171736,11.4554569
mount_8,Cavalese,"al lago del Forame, Cavalese, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Cimon di Val Moena,46.220685,11.4792198
mount_9,Predazzo,"Bait de Mulat, Strada per Pragatai, Zaluna, Bellamonte, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38037, Italia",La Sopösa,46.3251155,11.6219478
mount_10,Predazzo,"Pragatai, Zaluna, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38037, Italia",Monte Mulat - Mül Grant,46.3270715,11.6326015
mount_11,Predazzo,"Alta Via di Viezena, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38035, Italia",Viezzena - Viesena,46.3376652,11.6751093
mount_12,Moena,"Valbona, Moena, Comun General de Fascia, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38035, Italia",Sas de Mezdì,46.3562573,11.6704242
mount_13,Tesero,"Santana Weg-Nr574, Tesero, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Pala di Santa,46.3458524,11.5123106
mount_14,Castel Ivano,"Lapidi in memoria di giovani partigiani (I Piccoli Maestri), Strada forestale Brustolaè, Bislonghi, Castel Ivano, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38059, Italia",Cima Incudine,46.0120088,11.5487399
mount_15,Moena,"Sentiero forestale do Peniola, Moena, Comun General de Fascia, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38035, Italia",Sas da Ciamp,46.37956,11.62491
mount_16,Predazzo,"515B, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38037, Italia",La Forcella di Pelenzana,46.310669,11.571878
mount_17,Cavalese,"Sentiero per Cima delle Stellune, Cavalese, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Cima delle Stellune,46.1994171,11.5107524
mount_18,Ziano di Fiemme,"mulattiera Grande Guerra, Ziano di Fiemme, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Pala del Cardinal,46.2439106,11.6018329
mount_19,Baselga di Pine,"Cros de Costalta, Sentiero delle scalette, Baselga di Piné, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38042, Italia",Dosso di Costalta,46.1321025,11.2891682
mount_20,Telve,"Bivacco ANA ai Mangheneti, Strada Provinciale del Passo del Manghen, Telve, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Cima Fornace,46.1647739,11.4192871
