id;name;latitude;longitude;address;station_type;city
station_1;Trento-Autostaz.;46.070785;11.118457;Via San Lorenzo, Bolghera, Piedicastello, Vela, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38122, Italia;bus;region_153
station_2;Trento Solteri Bivio Ss.12;46.084046;11.119728;OBI, 230, Via del Brennero, Magnete, Solteri, Martignano, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38121, Italia;bus;region_153
station_3;Trento Bren Center;46.091322;11.11566;Tani, 330, Via del Brennero, Magnete, Zona commerciale via Brennero, Martignano, Trento, Territorio Val dAdige, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38121, Italia;bus;region_153
station_4;Stramentizzo Bivio;46.266506;11.406481;Strada Statale 612 della Val di Cembra, Castello-Molina di Fiemme, Comunita territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 39040, Italia;bus;region_15
station_5;Agnedo-Incrocio;46.051002;11.525005;10, Via delle RÇ¸le, Ivano, Agnedo, Castel Ivano, Comunita Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38059, Italia;bus;region_16
station_6;Agnedo;46.052518;11.528678;Piazza Beata Vergine della Mercede, Ivano, Agnedo, Castel Ivano, Comunita Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38059, Italia;bus;region_16
station_7;Agnedo-Via Per Ospedaletto;46.048289;11.531298;Via per Ospedaletto, Fracena, Maso Baia, Agnedo, Castel Ivano, Comunita Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38059, Italia;bus;region_16
station_8;Castello di F.-Via Stazione;46.28207;11.428963;Via della Stazione, Castello di Fiemme, Castello-Molina di Fiemme, Comunita territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38099, Italia;bus;region_15
station_9;Castello di Fiemme;46.281012;11.434818;Via Roma, Castello di Fiemme, Castello-Molina di Fiemme, Comunita territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38099, Italia;bus;region_15
station_10;Agnedo-Via Per Ospedaletto 8;46.046838;11.542283;35, Via per Ospedaletto, PalÇû, Maso Baia, Agnedo, Castel Ivano, Comunita Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38059, Italia;bus;region_16
station_11;Cavalese Hotel Garden;46.28927;11.448063;Via Trento, Cavalese, Comunita territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38033, Italia;bus;region_21
station_12;Cavalese-P.Zza Partigiani;46.291892;11.455502;Via Trento, Cavalese, Comunita territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38033, Italia;bus;region_21
station_13;Cavalese Piazza G.Verdi;46.290336;11.460686;Piazza Giuseppe Verdi, Cavalese, Comunita territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38033, Italia;bus;region_21
station_14;Cavalese Autostaz.;46.287909;11.463231;Via Lagorai, Cavalese, Comunita territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38033, Italia;bus;region_21
station_15;Tesero-Giardino Dolomiti;46.292467;11.484689;Le Perlaie, 5, Strada Statale delle Dolomiti, Cavazzal, Cavalese, Comunita territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38033, Italia;bus;region_21
station_16;Tesero-Loc. Piera;46.292228;11.49212;Piera di Tesero, Tesero, Comunita territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38038, Italia;bus;region_156
station_17;Tesero;46.288879;11.510906;Piazza Cesare Battisti, Via Roma, Tesero, Lago di Tesero, Tesero, Comunita territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38038, Italia;bus;region_156
station_18;Agnedo-Strada Statale;46.048315;11.529295;Strada Statale 47 della Valsugana, Agnedo, Castel Ivano, Comunita Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38059, Italia;bus;region_16
station_19;Deggiano Bivio;46.323838;10.85149;Via delle Lavine, Mastellina, Almazzago, Commezzadura, Comunita della Valle di Sole, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38025, Italia;bus;region_25
station_20;Ziano di Fiemme;46.286636;11.55967;Via Scopoli, Zanolin, Ziano di Fiemme, Comunita territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38038, Italia;bus;region_165
station_21;Ziano di Fiemme-Alla Roda;46.288371;11.569359;via Nazionale, Roda, Ziano di Fiemme, Comunita territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38037, Italia;bus;region_165
station_22;Predazzo-Borgo Nuovo;46.30654;11.598949;Via Fiamme Gialle, PÇù de Pardac, Coste, Predazzo, Comunita territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38037, Italia;bus;region_55
station_23;Predazzo Autostaz.;46.309522;11.604922;CONTFIEMME S.a.s., 43, Via Guglielmo Marconi, SomaÇªla, Predazzo, Comunita territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38037, Italia;bus;region_55
station_24;Predazzo-Distributore Agip;46.31718;11.597105;Agip Eni, Corso Dolomiti, La BÇªra, Al Fol, Predazzo, Comunita territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38037, Italia;bus;region_55
station_25;Predazzo-Impianti Latemar;46.328662;11.600166;Strada di Sacac, La BÇªra, Al Fol, Predazzo, Comunita territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38037, Italia;bus;region_55
station_26;Mezzavalle;46.337924;11.610365;SS48, La BÇªra, Mezzavalle, Predazzo, Comunita territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38037, Italia;bus;region_55
station_27;Forno;46.347286;11.625627;SS48 - Strada de la Comunita de Fiem, Forno - El Forn, Moena, Comun General de Fascia, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38035, Italia;bus;region_47
station_28;Forno-Albergo Foresta;46.354425;11.633768;SS48, Forno - El Forn, Moena, Comun General de Fascia, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38035, Italia;bus;region_47
station_29;Moena-Caserma Carabinieri;46.369234;11.652293;Strada de la Comunita de Fiem, Sorte, Moena, Comun General de Fascia, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38035, Italia;bus;region_47
station_30;Moena-Albergo Trentino;46.372945;11.655268;Strada Riccardo LÇôwy, Sorte, Moena, Comun General de Fascia, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38035, Italia;bus;region_47
station_31;Moena-PezzÇù;46.38076;11.66557;Hotel Zirmes, 10, Strada de PecÇ¸, Someda, Moena, Comun General de Fascia, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38035, Italia;bus;region_47
station_32;Mastellina;46.322222;10.846837;Via Nazionale, Mastellina, Almazzago, Commezzadura, Comunita della Valle di Sole, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38025, Italia;bus;region_25
station_33;Canezza Loc. Molini;46.076819;11.28274;SP135, PlÇützer - Maso Plozzeri, AuserpÇùrg - San Francesco, Pergine Valsugana, Comunita Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, Italia;bus;region_125
station_34;Canezza Loc. Pinterhof;46.078875;11.28344;2, SP135, PlÇützer - Maso Plozzeri, AuserpÇùrg - San Francesco, Pergine Valsugana, Comunita Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38050, Italia;bus;region_125
station_35;Frassilongo-Maso Pizzi;46.084011;11.290371;SP135, PlÇützer - Maso Plozzeri, AuserpÇùrg - San Francesco, Frassilongo - Garait, Comunita Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, Italia;bus;region_107
station_36;Frassilongo-Maso Molinari;46.084563;11.291105;SP135, PlÇützer - Maso Plozzeri, AuserpÇùrg - San Francesco, Frassilongo - Garait, Comunita Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, Italia;bus;region_107
station_37;Roveda Bivio;46.086444;11.293806;63/64, SP135, PlÇützer - Maso Plozzeri, AuserpÇùrg - San Francesco, Frassilongo - Garait, Comunita Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/SÇ¬dtirol, 38050, Italia;bus;region_107
