id,name,city,latitude,longitude,address
train_station1,Trento Santa Chiara,Trento,46.054380,11.1354677,Trento Santa Chiara San Bartolomeo Oltrefersina Villazzano Trento Territorio Val d'Adige Provincia di Trento Trentino-Alto Adige/Südtirol38128 Italia
train_station2,Gardolo,Trento,46.108060,11.1046112,Gardolo Maso Rossi Canova Gardolo Trento Territorio Val d'Adige Provincia di Trento Trentino-Alto Adige/Südtirol38121 Italia
train_station3,Caldonazzo,Caldonazzo,45.997429,11.2649955,Caldonazzo Caldonazzo Comunità  Alta Valsugana e Bersntol Provincia di Trento Trentino-Alto Adige/Südtirol38052 Italia
train_station4,Calceranica,Calceranica,46.007313,11.2407723,Calceranica Calceranica al Lago Comunità  Alta Valsugana e Bersntol Provincia di Trento Trentino-Alto Adige/Südtirol38049 Italia
train_station5,Villazzano,Trento,46.045889,11.1393028,Villazzano Via Banala Cernidor Villazzano Trento Territorio Val d'Adige Provincia di Trento Trentino-Alto Adige/Südtirol38128 Italia
train_station6,Levico Terme,Levico Terme,46.005919,11.3049369,Levico Terme Selva di Levico Levico Terme Comunità  Alta Valsugana e Bersntol Provincia di Trento Trentino-Alto Adige/Südtirol38056 Italia
train_station7,Borgo Valsugana Centro,Borgo Valsugana Centro,46.051370,11.4540691,Borgo Valsugana Centro Onea Olle Borgo Valsugana Comunità  Valsugana e Tesino Provincia di Trento Trentino-Alto Adige/Südtirol38051 Italia
train_station8,Avio,Avio,45.733738,10.9560297,Avio Và² Sinistro Sabbionara Avio Comunità  della Vallagarina Provincia di Trento Trentino-Alto Adige/Südtirol38063 Italia
train_station9,Mori,Mori,45.861294,11.0024377,Mori Rovereto Comunità  della Vallagarina Provincia di Trento Trentino-Alto Adige/Südtirol38065 Italia
train_station10,Rovereto,Rovereto,45.890823,11.0339061,Rovereto San Giorgio Rovereto Comunità  della Vallagarina Provincia di Trento Trentino-Alto Adige/Südtirol38068 Italia
train_station11,Serravalle all'Adige,Serravalle all'Adige,45.808218,1.1015147,Serravalle all'Adige Villetta Serravalle all'Adige Ala Comunità  della Vallagarina Provincia di Trento Trentino-Alto Adige/Südtirol38061 Italia
train_station12,Trento,Trento,46.072242,11.1193186,Trento Cristo Re Vela Trento Territorio Val d'Adige Provincia di Trento Trentino-Alto Adige/Südtirol38122 Italia
