gid	osm_id	code	fclass	name	coordinates
1156	546472379	4132	cave_entrance	Schneehöhle - Grotta della Neve	POINT(11.9503449 46.6232663)
1371	614991582	4132	cave_entrance	\N	POINT(11.9592511 45.8293821)
1372	614991588	4132	cave_entrance	\N	POINT(11.959501 45.8294582)
1373	614991670	4132	cave_entrance	\N	POINT(11.960833 45.8310206)
1374	614991671	4132	cave_entrance	\N	POINT(11.9609767 45.8310763)
1375	614991718	4132	cave_entrance	\N	POINT(11.9619461 45.8315403)
1376	615883536	4132	cave_entrance	\N	POINT(11.9560806 45.8270798)
1402	641260808	4132	cave_entrance	Miniera dell'Aubis	POINT(11.3132041 46.1119712)
1509	697020390	4132	cave_entrance	Grotta di Santa Barbara	POINT(11.8735912 45.9511273)
2227	808750635	4132	cave_entrance	Grotte di Oliero	POINT(11.6681485 45.8435538)
21182	1079747854	4132	cave_entrance	ex Cava di marmo	POINT(11.3487911 45.8099243)
29127	1360646068	4132	cave_entrance	\N	POINT(11.6776898 45.890297)
29128	1360646176	4132	cave_entrance	\N	POINT(11.6804856 45.926493)
29129	1360646177	4132	cave_entrance	\N	POINT(11.6801485 45.9266248)
29132	1360646188	4132	cave_entrance	\N	POINT(11.7357879 45.9315998)
29134	1360646192	4132	cave_entrance	\N	POINT(11.7344125 45.9319065)
29135	1360646193	4132	cave_entrance	\N	POINT(11.737171 45.9319905)
29136	1360646194	4132	cave_entrance	\N	POINT(11.7400522 45.9323528)
29137	1360646448	4132	cave_entrance	\N	POINT(11.7437628 45.9366771)
29138	1360646709	4132	cave_entrance	\N	POINT(11.7395913 45.9432606)
29139	1360646726	4132	cave_entrance	\N	POINT(11.7399101 45.9441596)
29140	1360646877	4132	cave_entrance	\N	POINT(11.7407114 45.9480081)
29141	1360647073	4132	cave_entrance	\N	POINT(11.7337999 45.9577776)
29142	1360647080	4132	cave_entrance	\N	POINT(11.7092484 45.9601009)
29143	1360647081	4132	cave_entrance	\N	POINT(11.706104 45.9602596)
29144	1360647098	4132	cave_entrance	\N	POINT(11.6808138 45.9670521)
29628	1362002717	4132	cave_entrance	\N	POINT(12.1949934 46.6445901)
30743	1370168128	4132	cave_entrance	\N	POINT(11.629867 45.8766376)
30783	1370503001	4132	cave_entrance	\N	POINT(11.6245335 45.8496129)
30784	1370503166	4132	cave_entrance	\N	POINT(11.625536 45.8501058)
30800	1370514308	4132	cave_entrance	\N	POINT(11.6571631 45.8614638)
30801	1370514498	4132	cave_entrance	\N	POINT(11.6563339 45.8615475)
30802	1370514610	4132	cave_entrance	\N	POINT(11.656118 45.8616169)
30803	1370514632	4132	cave_entrance	\N	POINT(11.6555043 45.8616207)
30804	1370514715	4132	cave_entrance	\N	POINT(11.6552256 45.861633)
30805	1370514816	4132	cave_entrance	\N	POINT(11.6549779 45.8616868)
30806	1370516737	4132	cave_entrance	\N	POINT(11.6494904 45.8632998)
30807	1370517121	4132	cave_entrance	\N	POINT(11.6309179 45.8640521)
30808	1370517326	4132	cave_entrance	\N	POINT(11.6489321 45.8645133)
