gid	osm_id	code	fclass	name	coordinates
1780	303826375	2524	outdoor_shop	Athenas	POINT(11.6022313 46.3101702)
2038	309972354	2524	outdoor_shop	Mival Sport	POINT(11.7299314 45.7893808)
11242	751963096	2524	outdoor_shop	\N	POINT(11.462429 46.5373432)
18626	1112759390	2524	outdoor_shop	Zanolli Action Wear	POINT(11.2231895 46.068014)
38286	1863341909	2524	outdoor_shop	Salewa World	POINT(11.3141358 46.4707138)
42252	2038645578	2524	outdoor_shop	Sportler Alpin	POINT(11.9381091 46.795687)
42275	2042483062	2524	outdoor_shop	Bergfuchs	POINT(12.0491033 46.7794647)
42311	2045833843	2524	outdoor_shop	Mountain Spirit	POINT(11.3625827 46.4995922)
47719	2333490738	2524	outdoor_shop	Peak Performance	POINT(12.2827641 46.731444)
52124	2443475286	2524	outdoor_shop	Sport Kassl	POINT(11.8976015 46.6820726)
58665	2676916060	2524	outdoor_shop	K & K Depot	POINT(11.6172027 46.5422845)
60083	2749756940	2524	outdoor_shop	Winkler Sport	POINT(10.5186919 46.8287349)
60217	2755698050	2524	outdoor_shop	Sportecke	POINT(11.6161755 46.5402002)
60384	2755899872	2524	outdoor_shop	Outdoor und Bekleidung Egarter Karl	POINT(12.1709229 46.7379618)
79655	3952806177	2524	outdoor_shop	Snow House	POINT(11.2407373 46.0608091)
82219	4147445527	2524	outdoor_shop	Montura store Borgo Valsugana	POINT(11.4580445 46.054015)
85615	4306007907	2524	outdoor_shop	Jack Wolfskin	POINT(11.3563127 46.4997396)
93302	4525321569	2524	outdoor_shop	\N	POINT(11.2385593 46.0611353)
107357	5014870190	2524	outdoor_shop	Bailo outlet	POINT(11.4503506 46.0523173)
108289	5058358952	2524	outdoor_shop	CMP	POINT(12.1397469 46.5368066)
112021	5306924328	2524	outdoor_shop	Kiwi Sports House	POINT(11.4515838 46.0527609)
115119	5529941329	2524	outdoor_shop	Snowithus	POINT(11.8030947 46.2621419)
137507	6844025791	2524	outdoor_shop	Alpenplus	POINT(11.4316143 46.8974319)
149138	7738043550	2524	outdoor_shop	Futura	POINT(11.504612 46.5186348)
154460	8032570016	2524	outdoor_shop	Schöffel Lowa Store	POINT(11.6553188 46.7168925)
174830	9410136285	2524	outdoor_shop	Sport Valeruz	POINT(11.7701094 46.4767553)
175489	9445373268	2524	outdoor_shop	Linea Verticale	POINT(11.8960167 46.0195591)
203483	10662082865	2524	outdoor_shop	Noleggio Sci	POINT(11.6875025 46.3128404)
