gid	osm_id	code	fclass	name	coordinates
3	26862539	4111	peak	Col Becchei Dessora	POINT(12.044572 46.6077473)
4	26862661	4111	peak	Kesselkogel - Catinaccio d'Antermoia	POINT(11.6438283 46.4740893)
8	26862691	4111	peak	Cima Cadin di San Lucano	POINT(12.2882724 46.5776149)
9	26862693	4111	peak	Cima d'Asta	POINT(11.6052937 46.1766183)
11	26862698	4111	peak	Cima della Vezzana	POINT(11.8297409 46.2899137)
12	26862704	4111	peak	Cima Dodici	POINT(11.4680336 45.9976856)
15	26862708	4111	peak	Cima Pape	POINT(11.9283766 46.3343734)
18	26862711	4111	peak	Rollspitze - Cima Rolle	POINT(11.5077966 46.9464887)
25	26862737	4111	peak	Schwarzhorn - Corno Nero	POINT(11.454503 46.3347755)
27	26863151	4111	peak	Hintere Schwärze	POINT(10.9146852 46.7734046)
35	26863713	4111	peak	Cima Campo	POINT(11.6879398 45.9998035)
50	26863836	4111	peak	Monte Corno - Trudner Horn	POINT(11.3238241 46.2898752)
52	26863840	4111	peak	Monte Cristallo	POINT(12.2005443 46.5754463)
56	26863875	4111	peak	Monte Grappa	POINT(11.7992028 45.8734305)
57	26863901	4111	peak	Monte Mezza	POINT(11.5816667 46.0455556)
61	26863922	4111	peak	Monte Pavione	POINT(11.8214153 46.1045095)
76	26863992	4111	peak	Monte Tomatico	POINT(11.9051345 45.9813946)
77	26863994	4111	peak	Monte Totoga	POINT(11.7492946 46.135559)
79	26864000	4111	peak	Monte Verena	POINT(11.4138837 45.9306598)
83	26864045	4111	peak	Napfspitz - Cima Cadini	POINT(12.0396129 47.0600953)
87	26864251	4111	peak	Dürrenstein - Picco di Vallandro	POINT(12.1855479 46.6725105)
92	26864459	4111	peak	Haunold - Rocca dei Baranci	POINT(12.2775 46.6886111)
93	26864542	4111	peak	Sass di Mura	POINT(11.9252778 46.1636111)
99	26864932	4111	peak	Tofana di Mezzo	POINT(12.0655 46.5510125)
100	26864933	4111	peak	Tofana di Rozes	POINT(12.051053 46.537008)
102	26865132	4111	peak	Weißkugel - Palla Bianca	POINT(10.726062 46.7978232)
104	61100875	4111	peak	Völseggspitze - Monte Balzo	POINT(11.5246323 46.4843423)
105	94950230	4111	peak	Portlesspitze - Pizzo Portles	POINT(10.647688 46.7444225)
106	94950233	4111	peak	Südliche Valvelspitze	POINT(10.6706547 46.7687255)
107	107792317	4111	peak	Tartscher Bichl - Collina di Tarces	POINT(10.5597004 46.6789898)
112	224795496	4111	peak	Piz la Ila	POINT(11.9051941 46.5642358)
113	224795497	4111	peak	Piz de Surega	POINT(11.9218183 46.5564255)
114	224795499	4111	peak	Cherz	POINT(11.8847157 46.5166435)
115	224795501	4111	peak	Col Alt	POINT(11.888123 46.5542512)
116	224795506	4111	peak	Piz Arlara	POINT(11.8992845 46.5487812)
117	248951671	4111	peak	Cornacci	POINT(11.5235816 46.3113226)
118	252412342	4111	peak	Lorenzen - Cima San Lorenzo	POINT(11.5188249 46.7123042)
119	253458380	4111	peak	Ziolera	POINT(11.4554569 46.171736)
120	253458640	4111	peak	Cimon di Val Moena	POINT(11.4792198 46.220685)
121	253472355	4111	peak	La Sopösa	POINT(11.6219478 46.3251155)
122	253472403	4111	peak	Monte Mulat - Mül Grant	POINT(11.6326015 46.3270715)
123	253472816	4111	peak	\N	POINT(11.5517295 46.2991643)
124	253473249	4111	peak	Viezzena - Viesena	POINT(11.6751093 46.3376652)
125	253480188	4111	peak	Sas de Mezdì	POINT(11.6704242 46.3562573)
126	256041685	4111	peak	Firmisanschneide	POINT(10.9536995 46.8197993)
127	256041693	4111	peak	Östlicher Feuerstein - Montarso Orientale	POINT(11.2442192 46.9717141)
128	256041694	4111	peak	Finailspitze - Punta di Finale	POINT(10.8318669 46.7804128)
129	256041703	4111	peak	Wilder Freiger - Cima Libera	POINT(11.1899934 46.9705175)
131	256041797	4111	peak	Hochferner - Gran Vedretta	POINT(11.7179995 46.9779753)
132	256041813	4111	peak	Jochköpfl	POINT(11.1078766 46.9259999)
133	256041842	4111	peak	Hochwilde - Cima Altissima	POINT(11.0222673 46.7654482)
135	256041857	4111	peak	Karlesspitze - Cima di Quaira	POINT(10.9749815 46.7721198)
136	256041890	4111	peak	Östliche Marzellspitze	POINT(10.9107249 46.7711488)
137	256041918	4111	peak	Kreuzspitze	POINT(10.87 46.8163889)
138	256041959	4111	peak	Mutmalspitze	POINT(10.9084967 46.7830059)
140	256041987	4111	peak	Großer Ramolkogel	POINT(10.9591333 46.846794)
141	256042757	4111	peak	Schalfkogel	POINT(10.9590789 46.8017625)
142	256042791	4111	peak	Mittlerer Seekarkopf	POINT(10.6191667 46.8736111)
143	256042795	4111	peak	Hinterer Seelenkogel - Cima delle Anime	POINT(11.0443642 46.8015987)
144	256042799	4111	peak	Similaun	POINT(10.8806482 46.763682)
145	256042805	4111	peak	Sonklarspitze - Cima di Malavalle	POINT(11.1647222 46.9555555)
146	256042816	4111	peak	Hinterer Spiegelkogel	POINT(10.9588303 46.8292483)
147	256042828	4111	peak	Pflerscher Tribulaun - Tribulaun di Fleres	POINT(11.3388907 46.9852899)
148	256042853	4111	peak	Hoher Weißzint - Punta Bianca	POINT(11.7470266 46.968874)
149	256042855	4111	peak	Weißseespitze - Cima del Lago Bianco	POINT(10.7168691 46.8462323)
150	256042862	4111	peak	Wildnörderer	POINT(10.6152778 46.8913889)
152	256057437	4111	peak	Aglsspitze - Cima dell Accla	POINT(11.2438947 46.9655114)
153	256057446	4111	peak	Botzer - Il Capro	POINT(11.1981473 46.9310629)
159	267976756	4111	peak	Pala di Santa	POINT(11.5123106 46.3458524)
160	267976758	4111	peak	Cugola	POINT(11.4317083 46.3241664)
169	272394005	4111	peak	Crëp de Sela	POINT(11.865117 46.54462)
